Á¶°Çº°ºÐ¼®,,,,,,,,,
[°Ë»öÁ¶°Ç],,,,,,,,,
,ºÐ·ù: Áö»ó,,,,,,,,
,¿ä¼Ò : ±â¿Â,,,,,,,,
,°Ë»ö±¸ºÐ : ¿ù,,,,,,,,
,Áö¿ª/ÁöÁ¡¸í : °­¸ª,,,,,,,,
,±â°£ : 1904 ~ 2025³â 01 ~ 12¿ù,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"	",,,,,,,,,
"		ÁöÁ¡¹øÈ£",ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡É),Æò±ÕÃÖ°í±â¿Â(¡É),ÃÖ°í±â¿Â(¡É),"	ÃÖ°í±â¿ÂÀÏÀÚ",Æò±ÕÃÖÀú±â¿Â(¡É),ÃÖÀú±â¿Â(¡É),ÃÖÀú±â¿ÂÀÏÀÚ
"		105",°­¸ª,27-Oct,14.4,20.5,28.8,1927-10-06,9.4,2.2,1927-10-14
"		105",°­¸ª,27-Nov,9.4,15.4,20.1,1927-11-14,4.6,0.4,1927-11-17
"		105",°­¸ª,27-Dec,1.8,6.7,16.7,1927-12-14,-2.6,-12.8,1927-12-30
"		105",°­¸ª,28-Jan,-2.4,1.9,9.9,1928-01-10,-6,-13.3,1928-01-04
"		105",°­¸ª,28-Feb,-1.2,3.2,8.3,1928-02-26,-4.7,-11,1928-02-08
"		105",°­¸ª,28-Mar,4.2,9.5,20.8,1928-03-20,0.6,-3,1928-03-22
"		105",°­¸ª,28-Apr,11.4,17.8,29.3,1928-04-29,6.4,-0.8,1928-04-05
"		105",°­¸ª,28-May,18,25.1,33.9,1928-05-30,12.1,5.6,1928-05-04
"		105",°­¸ª,28-Jun,19.4,24.5,32,1928-06-07,15.7,9.5,1928-06-06
"		105",°­¸ª,28-Jul,24.1,29.1,35.4,1928-07-10,20.7,15.4,1928-07-05
"		105",°­¸ª,28-Aug,23,27.3,33,1928-08-28,20.1,16.3,1928-08-13
"		105",°­¸ª,28-Sep,19.9,24.5,31.3,1928-09-06,16.6,6.3,1928-09-25
"		105",°­¸ª,28-Oct,13.5,20.2,27.5,1928-10-28,9.1,2,1928-10-31
"		105",°­¸ª,28-Nov,7.9,13.6,19.3,1928-11-01,3.7,-3.1,1928-11-17
"		105",°­¸ª,28-Dec,1.8,6.8,10.7,1928-12-08,-2,-9.9,1928-12-19
"		105",°­¸ª,29-Jan,-0.9,4.4,14.5,1929-01-14,-5,-11.5,1929-01-02
"		105",°­¸ª,Feb-29,-0.6,5.2,17.4,1929-02-21,-5.3,-13.1,1929-02-10
"		105",°­¸ª,29-Mar,4,9.5,23.2,1929-03-23,-0.5,-10.9,1929-03-03
"		105",°­¸ª,29-Apr,10.3,15.9,28,1929-04-16,5.6,-3.2,1929-04-03
"		105",°­¸ª,29-May,14.3,20,30,1929-05-31,10.4,3.8,1929-05-05
"		105",°­¸ª,29-Jun,21.2,27,33.5,1929-06-03,16.8,10.6,1929-06-01
"		105",°­¸ª,29-Jul,26.7,31.8,37.4,1929-07-30,23,15.8,1929-07-03
"		105",°­¸ª,29-Aug,26.1,31.7,37.4,1929-08-01,22.2,18.3,1929-08-30
"		105",°­¸ª,29-Sep,18.8,25.3,30.4,1929-09-24,14.4,11.3,1929-09-30
"		105",°­¸ª,29-Oct,13.6,20,27.3,1929-10-06,9.2,4.1,1929-10-22
"		105",°­¸ª,29-Nov,7.6,13,20.9,1929-11-05,3.2,-4.4,1929-11-23
"		105",°­¸ª,29-Dec,3.4,7.5,14.6,1929-12-11,0,-8.3,1929-12-23
"		105",°­¸ª,30-Jan,-1.4,3.1,7.7,1930-01-21,-4.9,-11.3,1930-01-06
"		105",°­¸ª,Feb-30,2.1,6.8,17.6,1930-02-25,-1.8,-9.2,1930-02-11
"		105",°­¸ª,30-Mar,5.6,10.2,21.5,1930-03-26,2.1,-3.7,1930-03-09
"		105",°­¸ª,30-Apr,11.5,16.7,28.7,1930-04-18,7.5,0.7,1930-04-03
"		105",°­¸ª,30-May,17.8,24,30.7,1930-05-29,12.6,7.5,1930-05-12
"		105",°­¸ª,30-Jun,21.1,27.1,33.7,1930-06-20,17,11.7,1930-06-07
"		105",°­¸ª,30-Jul,24,28.3,34.9,1930-07-03,20.9,18,1930-07-20
"		105",°­¸ª,30-Aug,24.8,30,35.5,1930-08-05,21.1,16.7,1930-08-04
"		105",°­¸ª,30-Sep,19.1,24.8,30.7,1930-09-08,15.3,9.8,1930-09-30
"		105",°­¸ª,30-Oct,14.7,20.8,28,1930-10-10,10.7,5.4,1930-10-22
"		105",°­¸ª,30-Nov,6.2,11.4,20,1930-11-09,1.7,-5.1,1930-11-12
"		105",°­¸ª,30-Dec,3.1,8.1,14.5,1930-12-18,-0.7,-6.4,1930-12-31
"		105",°­¸ª,31-Jan,-1.3,3.3,14.2,1931-01-04,-5.7,-19.1,1931-01-11
"		105",°­¸ª,Feb-31,-1.5,3,11,1931-02-01,-5.3,-14,1931-02-08
"		105",°­¸ª,31-Mar,5.6,11.5,21,1931-03-30,0.3,-9.2,1931-03-01
"		105",°­¸ª,Apr-31,9.9,15.9,22.5,1931-04-15,5.2,-0.5,1931-04-12
"		105",°­¸ª,31-May,16.4,22.7,27.5,1931-05-30,11.2,5.3,1931-05-08
"		105",°­¸ª,Jun-31,17.1,21.8,28.4,1931-06-29,14.1,9.4,1931-06-02
"		105",°­¸ª,31-Jul,19.6,23.2,30.3,1931-07-31,17.2,12.5,1931-07-15
"		105",°­¸ª,31-Aug,24.3,28.7,34.9,1931-08-13,21.2,14.5,1931-08-31
"		105",°­¸ª,Sep-31,19.4,25,29.2,1931-09-05,15.4,10,1931-09-30
"		105",°­¸ª,31-Oct,13.3,19.7,29.5,1931-10-06,8.1,-1.3,1931-10-27
"		105",°­¸ª,Nov-31,9.3,14.8,22.5,1931-11-08,5,-1.5,1931-11-19
"		105",°­¸ª,31-Dec,2.4,6.9,15.9,1931-12-07,-1.5,-12.4,1931-12-13
"		105",°­¸ª,Jan-32,2.4,7.3,16.5,1932-01-06,-1.8,-11.5,1932-01-08
"		105",°­¸ª,Feb-32,-0.9,3.4,9.5,1932-02-12,-4.2,-12.2,1932-02-17
"		105",°­¸ª,Mar-32,3.3,8.8,20,1932-03-26,-1,-5.6,1932-03-15
"		105",°­¸ª,Apr-32,11.3,17,24.8,1932-04-29,6.8,1,1932-04-10
"		105",°­¸ª,May-32,16.8,23.4,33.5,1932-05-21,11.7,3.1,1932-05-07
"		105",°­¸ª,Jun-32,17.4,22.3,31.5,1932-06-04,14.2,8.9,1932-06-01
"		105",°­¸ª,Jul-32,24.5,29.9,36.8,1932-07-30,20.9,16.2,1932-07-02
