Á¶°Çº°ºÐ¼®,,,,,,,,,
[°Ë»öÁ¶°Ç],,,,,,,,,
,ºÐ·ù: Áö»ó,,,,,,,,
,¿ä¼Ò : ±â¿Â,,,,,,,,
,°Ë»ö±¸ºÐ : ¿ù,,,,,,,,
,Áö¿ª/ÁöÁ¡¸í : °­¸ª,,,,,,,,
,±â°£ : 1904 ~ 2025³â 01 ~ 12¿ù,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"	",,,,,,,,,
"		ÁöÁ¡¹øÈ£",ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡É),Æò±ÕÃÖ°í±â¿Â(¡É),ÃÖ°í±â¿Â(¡É),"	ÃÖ°í±â¿ÂÀÏÀÚ",Æò±ÕÃÖÀú±â¿Â(¡É),ÃÖÀú±â¿Â(¡É),ÃÖÀú±â¿ÂÀÏÀÚ
"		105",°­¸ª,Aug-55,24.7,30.1,35.6,1955-08-19,20.4,17,1955-08-15
"		105",°­¸ª,Sep-55,19.5,24.1,27.6,1955-09-18,16.1,12.4,1955-09-30
"		105",°­¸ª,Oct-55,13.3,18.6,25.5,1955-10-01,9.4,3.4,1955-10-31
"		105",°­¸ª,Nov-55,8.5,14,21.4,1955-11-15,4.1,-0.3,1955-11-09
"		105",°­¸ª,Dec-55,5.2,10,17.3,1955-12-13,1.1,-6,1955-12-17
"		105",°­¸ª,Jan-56,-0.2,4.1,11.6,1956-01-05,-4.2,-12.7,1956-01-09
"		105",°­¸ª,Feb-56,-0.3,4.3,12,1956-02-03,-4,-10.4,1956-02-17
"		105",°­¸ª,Mar-56,2.7,6.7,19.8,1956-03-15,-0.7,-7.3,1956-03-09
"		105",°­¸ª,Apr-56,11.6,16.6,25.1,1956-04-22,6.8,0.8,1956-04-06
"		105",°­¸ª,May-56,17.8,23.1,29.6,1956-05-28,13.6,7.5,1956-05-04
"		105",°­¸ª,Jun-56,19.1,23.4,30.6,1956-06-15,15.7,11.2,1956-06-10
"		105",°­¸ª,Jul-56,21.6,25.7,34.5,1956-07-27,19.1,13.7,1956-07-04
"		105",°­¸ª,Aug-56,22.9,27,35,1956-08-08,19.8,13.8,1956-08-31
"		105",°­¸ª,Sep-56,19.8,24.9,32.5,1956-09-05,15.9,9.7,1956-09-27
"		105",°­¸ª,Oct-56,14.3,19.7,25.8,1956-10-09,9.8,3.1,1956-10-20
"		105",°­¸ª,Nov-56,6.8,11.9,23.2,1956-11-03,2.3,-5.7,1956-11-16
"		105",°­¸ª,Dec-56,-0.8,3.7,11.8,1956-12-03,-5,-9.6,1956-12-10
"		105",°­¸ª,Jan-57,-0.1,4.2,10.7,1957-01-02,-3.6,-8.5,1957-01-07
"		105",°­¸ª,Feb-57,-2.1,1.9,7,1957-02-25,-5.8,-15.4,1957-02-11
"		105",°­¸ª,Mar-57,2.5,6.9,17.8,1957-03-29,-1.3,-8.7,1957-03-13
"		105",°­¸ª,Apr-57,11.7,16.8,25.5,1957-04-08,7.4,-1,1957-04-01
"		105",°­¸ª,May-57,17.4,22.9,29.6,1957-05-17,13.5,7.8,1957-05-03
"		105",°­¸ª,Jun-57,19.1,23.3,30.3,1957-06-30,15.7,9.5,1957-06-08
"		105",°­¸ª,Jul-57,21.9,25.4,32.2,1957-07-29,19.5,16.6,1957-07-09
"		105",°­¸ª,Aug-57,22.3,25.7,31.5,1957-08-24,19.8,16,1957-08-29
"		105",°­¸ª,Sep-57,18,23.7,26.8,1957-09-24,13.8,10,1957-09-27
"		105",°­¸ª,Oct-57,14.1,19.5,28.1,1957-10-15,9.8,2.8,1957-10-18
"		105",°­¸ª,Nov-57,9.9,14.9,21.9,1957-11-09,5.8,-1.8,1957-11-29
"		105",°­¸ª,Dec-57,3.2,7.7,12.6,1957-12-28,-0.5,-8.2,1957-12-30
"		105",°­¸ª,Jan-58,-1.5,3,12.7,1958-01-09,-5.9,-14.9,1958-01-16
"		105",°­¸ª,Feb-58,1.7,6.1,17.7,1958-02-22,-2.7,-6.8,1958-02-28
"		105",°­¸ª,Mar-58,5.4,10.8,22.4,1958-03-23,0.2,-10.1,1958-03-03
"		105",°­¸ª,Apr-58,10.8,15.8,24.4,1958-04-21,6.3,-1.6,1958-04-02
"		105",°­¸ª,May-58,16.7,22.8,34.5,1958-05-29,11.7,5.7,1958-05-01
"		105",°­¸ª,Jun-58,20.3,25.3,35.7,1958-06-26,15.8,10,1958-06-04
"		105",°­¸ª,Jul-58,24,27.8,34.5,1958-07-19,21,15.9,1958-07-15
"		105",°­¸ª,Aug-58,23,26.7,34.1,1958-08-10,20,16.6,1958-08-23
"		105",°­¸ª,Sep-58,18.8,22.9,28.2,1958-09-15,15.3,9.5,1958-09-29
"		105",°­¸ª,Oct-58,12.8,17.8,23.2,1958-10-05,8.8,1,1958-10-27
"		105",°­¸ª,Nov-58,8.6,12.9,20.3,1958-11-09,4.8,-0.5,1958-11-19
"		105",°­¸ª,Dec-58,6.3,10.3,14.7,1958-12-07,2.9,-0.6,1958-12-29
"		105",°­¸ª,Jan-59,-1.3,2.9,12.3,1959-01-27,-5.8,-16.3,1959-01-05
"		105",°­¸ª,Feb-59,3.2,7,14.1,1959-02-03,-0.2,-5.3,1959-02-11
"		105",°­¸ª,Mar-59,7,11.2,17.3,1959-03-19,3,-4.1,1959-03-13
"		105",°­¸ª,Apr-59,12.9,18.1,26.5,1959-04-19,8.1,3.7,1959-04-01
"		105",°­¸ª,May-59,18.9,24.9,32.1,1959-05-28,13.7,9.8,1959-05-24
"		105",°­¸ª,Jun-59,19.9,24,31,1959-06-15,16.1,10.8,1959-06-12
"		105",°­¸ª,Jul-59,24.2,28.4,36.5,1959-07-30,20.6,15.9,1959-07-16
"		105",°­¸ª,Aug-59,24.8,28.9,33.8,1959-08-30,21.7,17.4,1959-08-14
"		105",°­¸ª,Sep-59,20.4,24.5,29.9,1959-09-04,17.1,12.8,1959-09-26
"		105",°­¸ª,Oct-59,15.9,21.9,27.8,1959-10-06,10.7,4.4,1959-10-30
"		105",°­¸ª,Nov-59,9,13.5,24.1,1959-11-02,5,-0.5,1959-11-22
"		105",°­¸ª,Dec-59,4.3,8.1,16.9,1959-12-09,0.4,-8.9,1959-12-17
"		105",°­¸ª,Jan-60,0,4.4,15.1,1960-01-04,-4.1,-14.4,1960-01-24
"		105",°­¸ª,Feb-60,4.7,9.3,16.1,1960-02-07,0.8,-4.9,1960-02-15
"		105",°­¸ª,Mar-60,7.2,11.7,20.2,1960-03-28,2.9,-4.8,1960-03-13
"		105",°­¸ª,Apr-60,11.4,16.6,26.2,1960-04-24,7,0.2,1960-04-08
"		105",°­¸ª,May-60,16.4,21.5,29.9,1960-05-23,12.6,7.7,1960-05-06
"		105",°­¸ª,Jun-60,20.6,25.1,33.2,1960-06-20,17.1,11.8,1960-06-12
"		105",°­¸ª,Jul-60,24.1,28,36.4,1960-07-21,21.5,15,1960-07-10
"		105",°­¸ª,Aug-60,25.2,29.6,34.8,1960-08-08,22,17.9,1960-08-28
"		105",°­¸ª,Sep-60,20.7,25.2,30.5,1960-09-20,16.9,12.4,1960-09-29
"		105",°­¸ª,Oct-60,14.6,20.1,24,1960-10-01,10.6,6.2,1960-10-28
"		105",°­¸ª,Nov-60,9.4,14.4,21.6,1960-11-21,5.3,-7.5,1960-11-27
"		105",°­¸ª,Dec-60,1.4,5.7,14.3,1960-12-11,-2.7,-13.2,1960-12-31
"		105",°­¸ª,Jan-61,-1,3.8,9.5,1961-01-23,-5.2,-12.4,1961-01-12
"		105",°­¸ª,Feb-61,1.3,5.9,15.3,1961-02-28,-2.8,-11,1961-02-01
"		105",°­¸ª,Mar-61,6.9,11.1,18.9,1961-03-31,2.6,-3.3,1961-03-10
"		105",°­¸ª,Apr-61,13.5,18.9,30.1,1961-04-20,7.7,2.7,1961-04-09
"		105",°­¸ª,May-61,18.6,24,32.6,1961-05-26,12.9,3.4,1961-05-05
"		105",°­¸ª,Jun-61,21.3,25.9,31.8,1961-06-06,16.5,11.3,1961-06-03
"		105",°­¸ª,Jul-61,27,31.3,36.5,1961-07-26,23.1,18.8,1961-07-01
"		105",°­¸ª,Aug-61,25.4,29,34.9,1961-08-11,22,17,1961-08-29
"		105",°­¸ª,Sep-61,21,25.1,33.6,1961-09-04,17.1,11.8,1961-09-18
"		105",°­¸ª,Oct-61,15.6,19.5,23.5,1961-10-22,12,8.2,1961-10-31
"		105",°­¸ª,Nov-61,10.7,15.3,21,1961-11-07,6.7,-0.3,1961-11-24
"		105",°­¸ª,Dec-61,2.9,7.6,17.5,1961-12-12,-1.1,-9.2,1961-12-14
"		105",°­¸ª,Jan-62,-0.6,3.7,8.2,1962-01-10,-4.4,-8.7,1962-01-27
"		105",°­¸ª,Feb-62,2,6.7,15.3,1962-02-10,-2,-6.2,1962-02-13
"		105",°­¸ª,Mar-62,5.5,10.2,22,1962-03-14,0.9,-5.3,1962-03-17
"		105",°­¸ª,Apr-62,12.1,16.9,25.9,1962-04-22,7.2,-2.9,1962-04-04
"		105",°­¸ª,May-62,19.3,25,32.6,1962-05-30,12.9,7.3,1962-05-01
"		105",°­¸ª,Jun-62,19.9,24.6,37,1962-06-17,15,11.9,1962-06-07
"		105",°­¸ª,Jul-62,24.1,28.1,36.5,1962-07-30,20.7,17.3,1962-07-09
"		105",°­¸ª,Aug-62,25,29.2,35.1,1962-08-12,21.5,18.6,1962-08-20
"		105",°­¸ª,Sep-62,19.7,23.7,29.2,1962-09-11,16.1,9.4,1962-09-26
"		105",°­¸ª,Oct-62,13.8,18.8,25.1,1962-10-02,9.3,3.1,1962-10-15
"		105",°­¸ª,Nov-62,7.2,11.5,22.1,1962-11-14,3.8,-3.4,1962-11-30
"		105",°­¸ª,Dec-62,3.9,8.4,14.1,1962-12-29,0.3,-7.7,1962-12-31
"		105",°­¸ª,Jan-63,-5.2,-0.6,5.4,1963-01-17,-8.9,-15.7,1963-01-23
"		105",°­¸ª,Feb-63,-0.1,4.5,12.1,1963-02-23,-4.1,-8.2,1963-02-01
"		105",°­¸ª,Mar-63,5.4,10.1,22.8,1963-03-20,1,-3.9,1963-03-07
"		105",°­¸ª,Apr-63,10,14.9,23.3,1963-04-27,5.7,-0.5,1963-04-07
"		105",°­¸ª,May-63,15.2,20.1,28,1963-05-13,10.1,4.6,1963-05-03
"		105",°­¸ª,Jun-63,18.2,22.5,31.1,1963-06-21,14.8,10.1,1963-06-06
"		105",°­¸ª,Jul-63,24.4,28,33.5,1963-07-14,21.5,17.3,1963-07-12
"		105",°­¸ª,Aug-63,24.6,28,32.4,1963-08-02,21.7,18.2,1963-08-27
"		105",°­¸ª,Sep-63,19.8,24.9,29.6,1963-09-05,15.5,10.7,1963-09-26
"		105",°­¸ª,Oct-63,13.6,19.2,24.6,1963-10-03,9.1,4.1,1963-10-18
"		105",°­¸ª,Nov-63,9.1,14.6,20.2,1963-11-05,4.6,-3.3,1963-11-30
"		105",°­¸ª,Dec-63,4.1,8.6,15.3,1963-12-23,0,-10.1,1963-12-27
"		105",°­¸ª,Jan-64,1.1,5,17.4,1964-01-12,-2.2,-7.1,1964-01-20
"		105",°­¸ª,Feb-64,-2.3,2,8.5,1964-02-29,-5.7,-13.5,1964-02-13
"		105",°­¸ª,Mar-64,4.2,8.8,20.8,1964-03-30,0.1,-3.3,1964-03-09
"		105",°­¸ª,Apr-64,7.9,11.5,24.6,1964-04-14,4.5,-1.1,1964-04-09
"		105",°­¸ª,May-64,18.2,22.7,31.1,1964-05-07,13.6,6.5,1964-05-01
"		105",°­¸ª,Jun-64,20.2,24.2,33.1,1964-06-26,16.4,12.5,1964-06-10
"		105",°­¸ª,Jul-64,24.1,27.8,34.6,1964-07-31,20.8,14.6,1964-07-21
"		105",°­¸ª,Aug-64,25.6,29.4,35.3,1964-08-05,22.6,19.7,1964-08-27
"		105",°­¸ª,Sep-64,18.8,22.2,28.9,1964-09-12,15.8,10.5,1964-09-29
"		105",°­¸ª,Oct-64,14,19.4,24,1964-10-16,10,4.6,1964-10-25
"		105",°­¸ª,Nov-64,8.7,13.3,18.2,1964-11-27,4.5,-2.1,1964-11-24
"		105",°­¸ª,Dec-64,3.1,8.3,15.4,1964-12-23,-0.8,-6.4,1964-12-12
"		105",°­¸ª,Jan-65,-1,4,9.4,1965-01-30,-4.7,-14.8,1965-01-12
"		105",°­¸ª,Feb-65,0.5,5,12,1965-02-09,-3.4,-12.6,1965-02-03
"		105",°­¸ª,Mar-65,4.5,8.9,17.5,1965-03-30,0.1,-5.3,1965-03-05
"		105",°­¸ª,Apr-65,9.8,14.5,25.7,1965-04-16,5.2,-1,1965-04-04
"		105",°­¸ª,May-65,18,23.4,30.8,1965-05-23,12.6,6.1,1965-05-01
"		105",°­¸ª,Jun-65,21.2,26.1,35.1,1965-06-28,16.5,9.6,1965-06-08
"		105",°­¸ª,Jul-65,22.5,26.1,33,1965-07-31,19.6,16.3,1965-07-24
"		105",°­¸ª,Aug-65,24.4,28.2,34.3,1965-08-16,21.4,18.3,1965-08-26
"		105",°­¸ª,Sep-65,20.7,25.9,32.2,1965-09-22,16.2,11.2,1965-09-28
"		105",°­¸ª,Oct-65,14.9,20.2,26.9,1965-10-28,10.8,5.1,1965-10-17
"		105",°­¸ª,Nov-65,9.4,14,20,1965-11-23,4.9,-4.6,1965-11-30
"		105",°­¸ª,Dec-65,1.6,6.8,14.9,1965-12-11,-3,-13.4,1965-12-17
"		105",°­¸ª,Jan-66,-0.7,4.6,12.6,1966-01-16,-4.8,-12.1,1966-01-20
"		105",°­¸ª,Feb-66,2.7,7.9,16.6,1966-02-09,-1.8,-10,1966-02-05
"		105",°­¸ª,Mar-66,5.8,9.9,20.4,1966-03-02,2.1,-4.2,1966-03-08
"		105",°­¸ª,Apr-66,11.2,16,26.6,1966-04-28,6.6,0.9,1966-04-05
"		105",°­¸ª,May-66,18.1,23.5,31.6,1966-05-06,12.3,4.3,1966-05-01
"		105",°­¸ª,Jun-66,19.4,23.4,31.7,1966-06-23,15.6,7.7,1966-06-06
"		105",°­¸ª,Jul-66,23.7,27.6,33.8,1966-07-29,20.6,11.9,1966-07-03
"		105",°­¸ª,Aug-66,25.2,29.1,35,1966-08-10,22.2,17.7,1966-08-20
"		105",°­¸ª,Sep-66,17.3,21,28.4,1966-09-30,14.1,10.3,1966-09-15
"		105",°­¸ª,Oct-66,14.5,19.2,26.9,1966-10-01,11.2,2.9,1966-10-28
"		105",°­¸ª,Nov-66,8.6,13.9,21.1,1966-11-01,3.7,-7.8,1966-11-30
"		105",°­¸ª,Dec-66,0.9,5.8,13.2,1966-12-17,-3,-11,1966-12-27
"		105",°­¸ª,Jan-67,-1,3.8,15.6,1967-01-26,-5.1,-15.8,1967-01-16
"		105",°­¸ª,Feb-67,0.3,4.9,19.4,1967-02-22,-3.1,-9.9,1967-02-13
"		105",°­¸ª,Mar-67,7.4,12,20,1967-03-29,3.2,-4.1,1967-03-06
"		105",°­¸ª,Apr-67,11.7,16,26.1,1967-04-29,7.1,1,1967-04-17
"		105",°­¸ª,May-67,19.4,24.6,33.5,1967-05-18,13.8,8.3,1967-05-20
"		105",°­¸ª,Jun-67,20.2,24,31.3,1967-06-23,16.6,12.3,1967-06-07
"		105",°­¸ª,Jul-67,24,27.8,35.8,1967-07-17,20.6,13.8,1967-07-05
"		105",°­¸ª,Aug-67,27,30.9,36.3,1967-08-09,23.9,19.9,1967-08-31
"		105",°­¸ª,Sep-67,18.5,22.8,31.4,1967-09-02,14.9,10.7,1967-09-25
"		105",°­¸ª,Oct-67,14.7,19.7,23.7,1967-10-10,10.5,7.6,1967-10-17
"		105",°­¸ª,Nov-67,8.1,12.9,22,1967-11-07,4.4,-1.1,1967-11-30
"		105",°­¸ª,Dec-67,-1.4,3.3,12.5,1967-12-19,-5.3,-14,1967-12-29
"		105",°­¸ª,Jan-68,-0.5,4.2,11.9,1968-01-12,-4.6,-13.1,1968-01-15
"		105",°­¸ª,Feb-68,-2.2,2.8,11,1968-02-18,-6,-11.4,1968-02-02
"		105",°­¸ª,Mar-68,6.6,11.3,23.4,1968-03-29,1.5,-5.2,1968-03-03
"		105",°­¸ª,Apr-68,12.3,17.4,24.2,1968-04-30,6.6,2,1968-04-12
"		105",°­¸ª,May-68,15.9,20.3,27.3,1968-05-10,11.6,7.2,1968-05-08
"		105",°­¸ª,Jun-68,19.8,24.5,33.6,1968-06-05,15.4,10,1968-06-04
"		105",°­¸ª,Jul-68,23.5,26.6,36.1,1968-07-23,20.7,15.8,1968-07-04
"		105",°­¸ª,Aug-68,23.4,27.1,33,1968-08-19,19.9,14.9,1968-08-31
"		105",°­¸ª,Sep-68,19.9,24.6,30.5,1968-09-11,15.4,10.4,1968-09-30
"		105",°­¸ª,Oct-68,13.1,18.3,27.8,1968-10-05,9,4.6,1968-10-25
"		105",°­¸ª,Nov-68,9.4,15.1,22.8,1968-11-26,4.7,-6.3,1968-11-10
"		105",°­¸ª,Dec-68,5.3,9.6,20.6,1968-12-06,1.8,-7.8,1968-12-31
"		105",°­¸ª,Jan-69,-0.6,3.3,13.9,1969-01-19,-4,-13.2,1969-01-03
"		105",°­¸ª,Feb-69,-0.8,2.5,13.8,1969-02-12,-3.9,-11.6,1969-02-06
"		105",°­¸ª,Mar-69,3.8,8,22.4,1969-03-26,-0.3,-6.5,1969-03-01
"		105",°­¸ª,Apr-69,11.8,16.7,27.6,1969-04-13,6.8,0.1,1969-04-04
"		105",°­¸ª,May-69,18,23,31.4,1969-05-09,13.3,9.2,1969-05-28
"		105",°­¸ª,Jun-69,20.8,25.2,32.2,1969-06-09,16.3,8.1,1969-06-07
"		105",°­¸ª,Jul-69,24.5,28.2,35.6,1969-07-29,21.1,14.3,1969-07-10
"		105",°­¸ª,Aug-69,25,28.8,33.7,1969-08-12,21.5,16.5,1969-08-26
"		105",°­¸ª,Sep-69,19.2,23.3,30,1969-09-18,15.7,10.9,1969-09-27
"		105",°­¸ª,Oct-69,14.2,19.7,26.7,1969-10-15,9.8,3.6,1969-10-10
"		105",°­¸ª,Nov-69,7.6,12.7,22.1,1969-11-13,3,-3.8,1969-11-25
"		105",°­¸ª,Dec-69,1.1,5.8,16.7,1969-12-06,-3.4,-10.7,1969-12-27
"		105",°­¸ª,Jan-70,-1.2,4.3,12.6,1970-01-28,-5.1,-14.7,1970-01-05
"		105",°­¸ª,Feb-70,2.2,6.7,17.1,1970-02-18,-1.9,-9.5,1970-02-09
"		105",°­¸ª,Mar-70,2.4,7,21.6,1970-03-29,-1.8,-7.9,1970-03-01
"		105",°­¸ª,Apr-70,11.4,16.8,25.7,1970-04-17,6.2,-0.2,1970-04-05
"		105",°­¸ª,May-70,17.7,22.1,31.9,1970-05-18,13.6,9.4,1970-05-07
"		105",°­¸ª,Jun-70,19.9,24.3,33.2,1970-06-28,15.9,8.3,1970-06-02
"		105",°­¸ª,Jul-70,23.6,27.3,36.7,1970-07-23,20.3,13,1970-07-09
"		105",°­¸ª,Aug-70,23.8,26.9,33.3,1970-08-04,21.2,18.8,1970-08-18
"		105",°­¸ª,Sep-70,20.3,24.4,32.2,1970-09-08,16.8,7.7,1970-09-30
"		105",°­¸ª,Oct-70,14.8,19.6,27,1970-10-08,10.7,1.9,1970-10-30
"		105",°­¸ª,Nov-70,8,13,21.1,1970-11-09,4.1,-9.3,1970-11-30
"		105",°­¸ª,Dec-70,2.1,6.6,17,1970-12-17,-1.6,-7.4,1970-12-25
"		105",°­¸ª,Jan-71,-0.3,3.9,13.5,1971-01-18,-3.4,-10.8,1971-01-05
"		105",°­¸ª,Feb-71,0,4.3,14,1971-02-16,-2.9,-9.7,1971-02-01
"		105",°­¸ª,Mar-71,4.1,8.4,24,1971-03-28,0.1,-8.6,1971-03-07
"		105",°­¸ª,Apr-71,12,17,26,1971-04-22,6.5,0.9,1971-04-07
"		105",°­¸ª,May-71,17.6,22.4,32.1,1971-05-26,13,4.4,1971-05-05
"		105",°­¸ª,Jun-71,20.4,24.4,31.7,1971-06-16,17.1,11.7,1971-06-04
"		105",°­¸ª,Jul-71,24.6,28.3,34.5,1971-07-28,21.6,18.1,1971-07-03
"		105",°­¸ª,Aug-71,23.1,26.6,36.1,1971-08-01,20.3,14.9,1971-08-25
"		105",°­¸ª,Sep-71,18.9,22.9,27.2,1971-09-06,15.5,10.8,1971-09-20
"		105",°­¸ª,Oct-71,13.8,19.6,25.7,1971-10-10,9.5,3.6,1971-10-12
"		105",°­¸ª,Nov-71,10.1,15.3,24.8,1971-11-01,6.2,-6.5,1971-11-29
"		105",°­¸ª,Dec-71,2.7,7.4,14.7,1971-12-02,-1.1,-5.5,1971-12-22
"		105",°­¸ª,Jan-72,2.2,5.7,12.8,1972-01-19,-0.5,-5.7,1972-01-28
"		105",°­¸ª,Feb-72,-0.2,3.1,6.5,1972-02-18,-2.6,-7,1972-02-20
"		105",°­¸ª,Mar-72,5.1,9.5,21.5,1972-03-28,1.1,-6.8,1972-03-01
"		105",°­¸ª,Apr-72,11.8,17,28.2,1972-04-29,7.3,-3.5,1972-04-01
"		105",°­¸ª,May-72,16.5,21.8,31.8,1972-05-07,11.5,6.8,1972-05-10
"		105",°­¸ª,Jun-72,21.7,27.4,33.8,1972-06-10,16.7,12.9,1972-06-13
"		105",°­¸ª,Jul-72,25.1,29.8,36,1972-07-05,21.3,15.6,1972-07-15
"		105",°­¸ª,Aug-72,24.3,29.1,35.6,1972-08-16,20.6,15.9,1972-08-23
"		105",°­¸ª,Sep-72,18.5,23.1,29.3,1972-09-03,15,10.8,1972-09-25
"		105",°­¸ª,Oct-72,15.1,20.3,25.9,1972-10-14,10.8,4.9,1972-10-22
"		105",°­¸ª,Nov-72,7.4,11.5,19,1972-11-02,3.7,-4.4,1972-11-28
"		105",°­¸ª,Dec-72,3.5,7.8,16.8,1972-12-05,-0.5,-9.2,1972-12-13
"		105",°­¸ª,Jan-73,1,4.6,8.8,1973-01-05,-1.7,-9.5,1973-01-03
"		105",°­¸ª,Feb-73,2.7,7.3,16.2,1973-02-16,-1,-7.8,1973-02-07
"		105",°­¸ª,Mar-73,5.3,10.3,24.4,1973-03-31,0.9,-4.2,1973-03-06
"		105",°­¸ª,Apr-73,14.1,18.8,27.2,1973-04-29,9.1,1.6,1973-04-03
"		105",°­¸ª,May-73,17.3,22,28.3,1973-05-30,12.9,7.9,1973-05-04
"		105",°­¸ª,Jun-73,19.7,22.8,31.3,1973-06-25,16.1,9.9,1973-06-03
"		105",°­¸ª,Jul-73,26.2,30.7,36.4,1973-07-15,22.5,16.5,1973-07-01
"		105",°­¸ª,Aug-73,26.5,31,37.2,1973-08-12,23.2,18.8,1973-08-25
"		105",°­¸ª,Sep-73,19.4,24.3,28.3,1973-09-07,15.8,9.1,1973-09-27
"		105",°­¸ª,Oct-73,13.8,18.6,27.4,1973-10-01,9.7,4.4,1973-10-18
"		105",°­¸ª,Nov-73,7.7,11.9,20.3,1973-11-09,3.5,-3.6,1973-11-22
"		105",°­¸ª,Dec-73,0.5,5.4,12.1,1973-12-02,-3.4,-12.8,1973-12-24
"		105",°­¸ª,Jan-74,-0.6,3.9,12.4,1974-01-02,-4.3,-12.7,1974-01-24
"		105",°­¸ª,Feb-74,-0.3,3.5,12.7,1974-02-16,-3.6,-12,1974-02-26
"		105",°­¸ª,Mar-74,4.5,9,17.2,1974-03-30,0.4,-7.7,1974-03-12
"		105",°­¸ª,Apr-74,11.7,16.9,24.8,1974-04-23,7,0.4,1974-04-01
"		105",°­¸ª,May-74,16.9,21.7,33.7,1974-05-28,12.2,8,1974-05-27
"		105",°­¸ª,Jun-74,19.5,24,32.7,1974-06-15,15,8.7,1974-06-05
"		105",°­¸ª,Jul-74,19.2,21.6,30.6,1974-07-31,17.5,14.6,1974-07-07
"		105",°­¸ª,Aug-74,24.2,28.3,34.4,1974-08-02,20.9,15.2,1974-08-26
"		105",°­¸ª,Sep-74,20.2,25.4,29.8,1974-09-03,16.2,12.1,1974-09-19
"		105",°­¸ª,Oct-74,14.4,18.9,25.4,1974-10-06,10.3,1.6,1974-10-31
"		105",°­¸ª,Nov-74,7.9,13.1,23.5,1974-11-06,3.6,-2,1974-11-13
"		105",°­¸ª,Dec-74,1.7,5.6,11.1,1974-12-01,-1.6,-5.3,1974-12-15
"		105",°­¸ª,Jan-75,0,4.4,11.1,1975-01-08,-3.3,-9.6,1975-01-18
"		105",°­¸ª,Feb-75,0.2,4.3,9.6,1975-02-06,-3.5,-8.3,1975-02-18
"		105",°­¸ª,Mar-75,4.9,9.1,17.1,1975-03-28,0.9,-5,1975-03-02
"		105",°­¸ª,Apr-75,12,16.7,23.2,1975-04-25,7.6,1.9,1975-04-02
"		105",°­¸ª,May-75,16.5,20.6,28.4,1975-05-22,12.4,7.5,1975-05-12
"		105",°­¸ª,Jun-75,19.5,22.8,31.3,1975-06-19,16.6,11.6,1975-06-01
"		105",°­¸ª,Jul-75,24.8,28.7,36.3,1975-07-20,21.6,14.5,1975-07-08
"		105",°­¸ª,Aug-75,25.8,30.1,36.2,1975-08-04,21.7,15.6,1975-08-24
"		105",°­¸ª,Sep-75,21.4,25.4,33.7,1975-09-03,18,13.5,1975-09-30
"		105",°­¸ª,Oct-75,14.7,19,25.2,1975-10-06,10.9,5.8,1975-10-30
"		105",°­¸ª,Nov-75,9.6,13.5,19,1975-11-17,6,-3.6,1975-11-24
"		105",°­¸ª,Dec-75,2.4,7.2,16.3,1975-12-03,-1.2,-7.2,1975-12-23
"		105",°­¸ª,Jan-76,-0.2,4.8,13.4,1976-01-03,-4.5,-13.1,1976-01-20
"		105",°­¸ª,Feb-76,3.2,7.5,15.2,1976-02-27,-0.3,-4.8,1976-02-07
"		105",°­¸ª,Mar-76,6.3,10.6,17.4,1976-03-08,2.3,-4.2,1976-03-20
"		105",°­¸ª,Apr-76,12.1,16.7,25.1,1976-04-28,6.9,1.4,1976-04-02
"		105",°­¸ª,May-76,18,23,32.2,1976-05-24,12.6,7.1,1976-05-05
"		105",°­¸ª,Jun-76,20.4,24.3,30.8,1976-06-27,16.5,13.3,1976-06-03
"		105",°­¸ª,Jul-76,22.8,26.4,33.1,1976-07-23,19.2,12.9,1976-07-05
"		105",°­¸ª,Aug-76,23,26.4,33.5,1976-08-21,20,16,1976-08-29
"		105",°­¸ª,Sep-76,19,23.6,29.4,1976-09-06,15,11.9,1976-09-23
"		105",°­¸ª,Oct-76,14.9,19.6,25.7,1976-10-02,10.6,1.4,1976-10-29
"		105",°­¸ª,Nov-76,6.9,11.8,22.4,1976-11-03,2.6,-3.9,1976-11-29
"		105",°­¸ª,Dec-76,2.5,6.9,15.1,1976-12-03,-1.4,-15.3,1976-12-27
"		105",°­¸ª,Jan-77,-3.1,1.9,9.1,1977-01-25,-6.4,-12.2,1977-01-01
"		105",°­¸ª,Feb-77,0.5,5.7,20.5,1977-02-25,-3.9,-14,1977-02-16
"		105",°­¸ª,Mar-77,5.7,10.3,19.5,1977-03-08,1.2,-11,1977-03-05
"		105",°­¸ª,Apr-77,12.4,17.9,26.6,1977-04-11,6.8,0.8,1977-04-04
"		105",°­¸ª,May-77,17.5,22,31.3,1977-05-20,12.8,5.1,1977-05-15
"		105",°­¸ª,Jun-77,19.1,23,29.9,1977-06-08,15.9,12,1977-06-19
"		105",°­¸ª,Jul-77,25.7,29.7,37.9,1977-07-31,22.2,17.2,1977-07-12
"		105",°­¸ª,Aug-77,22.8,26.9,35.5,1977-08-02,19.5,15.1,1977-08-27
"		105",°­¸ª,Sep-77,20.4,25,31.7,1977-09-05,16.5,8.8,1977-09-22
"		105",°­¸ª,Oct-77,17,22.3,27,1977-10-14,12.5,7.7,1977-10-17
"		105",°­¸ª,Nov-77,8.5,12.6,19.1,1977-11-05,4.9,-1.9,1977-11-30
