사고유형 대분류,사고유형 중분류,사고유형,연도,합계,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024
사고유형 대분류,사고유형 중분류,사고유형,연도,합계,합계,건조,젖음/습기,서리/결빙,적설,침수,해빙,기타,합계,건조,젖음/습기,서리/결빙,적설,침수,해빙,기타,합계,건조,젖음/습기,서리/결빙,적설,침수,해빙,기타,합계,건조,젖음/습기,서리/결빙,적설,침수,해빙,기타,합계,건조,젖음/습기,서리/결빙,적설,침수,해빙,기타
차대차,추돌,추돌,부상[명],"282,563","59,441","52,286","6,378",288,108,2,3,376,"57,423","50,458","5,528",539,373,8,4,513,"55,193","49,721","4,154",521,239,16,4,538,"57,054","50,306","5,584",481,185,2,4,492,"53,452","47,562","4,792",317,218,3,1,559
차대차,기타,기타,사고[건],"222,162","46,070","40,913","4,373",135,46,7,2,594,"44,222","39,086","3,877",264,183,8,2,802,"43,915","39,771","2,961",273,109,6,8,787,"43,459","38,698","3,756",174,90,4,1,736,"44,496","39,826","3,668",162,116,9,3,712
차대차,기타,기타,사망[명],"1,285",303,268,30,2,0,0,0,3,248,203,33,6,1,0,0,5,252,224,23,3,0,0,0,2,234,189,40,1,1,0,0,3,248,213,25,3,0,0,0,7
차대차,기타,기타,부상[명],"320,429","66,737","59,313","6,297",210,67,11,3,836,"63,445","56,019","5,538",400,291,9,2,"1,186","63,373","57,385","4,229",400,190,8,22,"1,139","62,654","55,828","5,272",285,189,5,1,"1,074","64,220","57,420","5,344",257,171,21,5,"1,002"
차량단독,합계,합계,사고[건],"40,904","8,878","7,416","1,245",82,21,3,1,110,"7,828","6,591",922,140,43,2,2,128,"7,871","6,893",693,107,40,5,0,133,"8,363","7,147",958,96,36,2,1,123,"7,964","6,913",825,91,32,7,0,96
차량단독,합계,합계,사망[명],"3,251",712,583,115,4,0,1,0,9,700,578,102,7,1,0,0,12,660,565,69,9,4,0,0,13,650,545,87,7,1,0,0,10,529,458,66,5,0,0,0,0
차량단독,합계,합계,부상[명],"45,534","9,901","8,102","1,520",100,40,2,1,136,"8,751","7,296","1,062",176,75,5,2,135,"8,714","7,582",786,141,59,8,0,138,"9,248","7,813","1,132",122,58,2,1,120,"8,920","7,634",953,129,48,8,0,148
차량단독,충돌,충돌,사고[건],"14,169","3,252","2,608",580,38,10,3,0,13,"2,765","2,227",426,60,22,1,1,28,"2,732","2,317",320,53,19,2,0,21,"2,832","2,272",462,43,28,1,0,26,"2,588","2,103",404,46,13,4,0,18
차량단독,충돌,충돌,사망[명],"1,592",344,272,66,3,0,1,0,2,343,288,49,3,1,0,0,2,326,279,38,4,0,0,0,5,308,250,50,4,1,0,0,3,271,228,38,5,0,0,0,0
차량단독,충돌,충돌,부상[명],"16,912","3,806","3,007",705,49,15,2,0,28,"3,313","2,635",515,78,48,2,1,34,"3,215","2,702",392,74,26,3,0,18,"3,394","2,671",597,55,44,1,0,26,"3,184","2,564",503,66,23,4,0,24
차량단독,도로이탈,합계,사고[건],"2,604",612,514,80,7,3,0,1,7,541,446,67,16,5,1,0,6,525,455,49,7,4,2,0,8,480,402,58,12,2,0,0,6,446,372,57,8,4,0,0,5
차량단독,도로이탈,합계,사망[명],487,122,101,16,1,0,0,0,4,91,77,13,1,0,0,0,0,101,83,13,1,1,0,0,3,107,92,13,1,0,0,0,1,66,57,9,0,0,0,0,0
차량단독,도로이탈,합계,부상[명],"2,882",684,547,111,7,6,0,1,12,608,497,73,22,7,3,0,6,584,510,47,6,7,4,0,10,507,419,63,18,2,0,0,5,499,417,60,13,4,0,0,5
차량단독,도로이탈,도로이탈 추락,사고[건],"1,792",413,355,45,5,1,0,1,6,385,323,43,11,3,1,0,4,360,316,32,4,2,1,0,5,323,276,35,8,1,0,0,3,311,262,40,3,2,0,0,4
차량단독,도로이탈,도로이탈 추락,사망[명],390,92,77,10,1,0,0,0,4,73,61,11,1,0,0,0,0,81,66,10,1,1,0,0,3,86,77,7,1,0,0,0,1,58,49,9,0,0,0,0,0
차량단독,도로이탈,도로이탈 추락,부상[명],"1,917",434,362,54,5,2,0,1,10,422,356,38,16,5,3,0,4,389,350,26,3,2,3,0,5,334,279,39,13,1,0,0,2,338,284,41,7,2,0,0,4
차량단독,도로이탈,도로이탈 기타,사고[건],812,199,159,35,2,2,0,0,1,156,123,24,5,2,0,0,2,165,139,17,3,2,1,0,3,157,126,23,4,1,0,0,3,135,110,17,5,2,0,0,1
차량단독,도로이탈,도로이탈 기타,사망[명],97,30,24,6,0,0,0,0,0,18,16,2,0,0,0,0,0,20,17,3,0,0,0,0,0,21,15,6,0,0,0,0,0,8,8,0,0,0,0,0,0
차량단독,도로이탈,도로이탈 기타,부상[명],965,250,185,57,2,4,0,0,2,186,141,35,6,2,0,0,2,195,160,21,3,5,1,0,5,173,140,24,5,1,0,0,3,161,133,19,6,2,0,0,1
